scan_code,item_name,vendor,count,cost,price,total_cost,total_retail
4900002820,FANTA PINEAPPLE 20 oz,,-3356,2.88,4.68,-9665.279999999999,-15706.08
797024,MICHELOB ULTRAZ SINGLF,,-243,2.25,2.62,-546.75,-636.66
199070,MONSTER LO CARB,,2939,2.8,1.18,8229.2,3468.02
450835,BONUS CROSSWORE,,-2855,2.04,8.81,-5824.2,-25152.55
713354,TWEISTED TEARIGZ SINGLF,,-3807,0.77,6.63,-2931.39,-25240.41
281992,COCA COLA  M,,974,3.26,4.56,3175.24,4441.44
657451,Special Edition Lotteria,,-3317,3.22,5.23,-10680.74,-17347.91
357190, mil Dollar Loteria,,-4520,4.5,5.91,-20340.0,-26713.2
657451,Special Edition Lotteria ,,-3317,3.22,5.23,-10680.74,-17347.91
357190, mil Dollar Loteria,,-4520,4.5,5.91,-20340.0,-26713.2
181288,DR PEPPER Z,,4332,2.67,9.13,11566.44,39551.16
800459,  MILLION WINNERS FLCRI,,1521,3.3,1.21,5019.3,1840.41
797024,MICHELOB ULTRAZ SINGLF,,-243,2.25,2.62,-546.75,-636.66
199070,MONSTER LO CARB,,2939,2.8,1.18,8229.2,3468.02
