scan_code,item_name,department,vendor,count,cost,price,total_cost,total_retail
704781116,MONSTER 16OZ,Energy Drink,,-21475,1.62,3.29,-34798.09,-70652.75
2259200701,OZARKA 16.9 OZ,01 Water,,-4769,0.22,1.09,-1049.18,-5198.21
2259243114,OZARKA SPORT 23.7 OZ,01 Water,,-4393,0.56,1.49,-2460.08,-6545.57
4900000764,SPRITE 20 OZ,08 Soda,,-4299,1.39,2.49,-5970.02,-10704.51
85764100289,BUZBALLZ CHOCO,07 Wine,,-4183,2.45,3.99,-10248.35,-16690.17
81752202433,2433 MEGA LOTERIA ,Scratch,,-4017,0,10,0,-40170
4900000045,COCA COLA DIET 20 oz ,08 Soda,,-3908,1.39,2.49,-5427.04,-9730.92
81752202258,10 Mega Loteria 2258,Scratch,,-3857,0,10,0,-38570
182002506,25OZ SINGLE ,07 Beer,,-3763,1.88,2.69,-7074.44,-10122.47
7800002374,VENOM MAMBA,08 Energy Drinks,,-3733.04,0.6,1.29,-2255.13,-4815.62
1820025001,BUD LIGHT 25OZ SINGLE ,07 Beer,,-3724,2.26,3.29,-8428.53,-12251.96
4900002656,DASANI 1L,01 Water,,-3649,1.42,2.39,-5181.58,-8721.11
81752202060,TX WEEKLY GRANDSINGLE,Scratch,,-3601,0,2,0,-7202
61126999100,RED BULL 8.4OZ,08 Energy Drinks,,-3534,1.57,2.99,-5549.44,-10566.66
7800008245,DR PEPPER 1 L,08 Soda,,-3521,1.58,2.89,-5563.18,-10175.69
81752202343,2343 1 Mil Loteria,Scratch,,-3515,0,20,0,-70300
